iter	RMSE
0	464223.5193
1	449453.2395
2	433726.0304
3	421305.0073
4	409943.2333
5	399969.1508
6	389162.7727
7	380026.1065
8	371652.4867
9	363951.7584
10	355379.6138
11	346862.216
12	341163.5686
13	334133.8187
14	329145.9246
15	324458.8639
16	320248.4374
17	316798.8755
18	313517.7086
19	310420.1701
20	307425.8216
21	303533.5451
22	300975.4682
23	298531.0413
24	295657.1927
25	293719.7986
26	291637.1947
27	288996.0589
28	286391.8143
29	284695.1467
30	284276.0107
31	282593.2522
32	280787.9657
33	277697.6735
34	276070.0492
35	274689.697
36	272689.0394
37	271468.03
38	270177.4376
39	268877.6256
40	267663.6546
41	266883.0891
42	266056.0963
43	265391.9947
44	264227.6732
45	263371.0799
46	262419.0011
47	261404.2912
48	260549.2323
49	259507.8768
50	258646.9482
51	257696.2657
52	256887.6301
53	256393.8946
54	254590.5836
55	254054.332
56	252321.0151
57	251335.5831
58	250673.6268
59	250060.8315
60	248906.9251
61	248109.6242
62	247623.9171
63	247113.7176
64	246831.4752
65	246373.7895
66	245943.8393
67	245179.6774
68	244516.4796
69	243833.953
70	243229.8202
71	242600.1853
72	242184.7527
73	241545.9147
74	239966.646
75	239457.9558
76	238865.27
77	238511.5838
78	237224.2163
79	236067.3437
80	235452.8399
81	235242.2472
82	234795.3116
83	234244.7796
84	233816.0963
85	233201.0061
86	232939.5843
87	232657.187
88	232023.5487
89	231701.0337
90	231259.4434
91	230766.515
92	230408.6348
93	228873.4824
94	228368.8751
95	227935.115
96	227753.0264
97	227167.8068
98	226825.3038
99	226769.5839
100	226358.8175
101	225994.6751
102	225470.4901
103	225071.9952
104	224716.8989
105	224311.2022
106	224011.9492
107	223694.9339
108	223141.7989
109	222145.5191
110	221839.7932
111	221805.5038
112	221620.8436
113	221169.7707
114	220261.3205
115	220062.6929
116	219676.5041
117	219295.5417
118	218907.0493
119	218645.4099
120	218261.0918
121	218158.3916
122	217771.403
123	217556.5715
124	217067.9501
125	216694.705
126	216293.9305
127	215904.1413
128	215615.4883
129	215016.7127
130	214786.2043
131	214551.5297
132	214383.2742
133	214084.8949
134	213749.8244
135	213471.773
136	213053.8837
137	212693.2431
138	212378.4239
139	211914.3629
140	211542.7981
141	211126.7353
142	210923.962
143	210613.175
144	210323.2655
145	209951.6657
146	209691.7562
147	209445.236
148	209284.8371
149	209085.5017
150	209036.7634
151	208730.3379
152	208497.7635
153	208306.8913
154	208046.9266
155	207710.6526
156	207527.1034
157	207239.4305
158	207023.1891
159	206840.3725
160	206498.4222
161	206329.583
162	205874.7556
163	205573.778
164	205321.8016
165	205135.8779
166	204747.0936
167	204510.8755
168	204379.9851
169	204182.8944
170	203872.1725
171	203478.7683
172	203231.603
173	203057.5311
174	202875.5712
175	202831.3128
176	202818.192
177	202535.8889
178	202448.0547
179	202404.0522
180	202130.0873
181	201906.0174
182	201593.5236
183	201279.9159
184	201094.5185
185	200825.9124
186	200574.1445
187	200384.8729
188	200256.1199
189	200006.9366
190	199783.6655
191	199539.4623
192	199434.5948
193	199239.143
194	198907.4212
195	198621.0988
196	198337.6291
197	198158.2441
198	197797.1656
199	197697.8135
200	197581.5555
201	197351.6349
202	197014.3016
203	196881.0393
204	196657.3259
205	196429.5426
206	196370.2745
207	196178.9918
208	196013.934
209	195742.2574
210	195503.2611
211	195410.4408
212	195275.2128
213	195197.2689
214	194993.3586
215	194783.5077
216	194710.3629
217	194531.9735
218	194357.1824
219	194253.5891
220	194042.085
221	193795.7739
222	193589.4077
223	193337.3754
224	193055.7161
225	192936.1183
226	192777.8335
227	192593.5802
228	192340.8375
229	192189.1549
230	191830.3456
231	191658.5405
232	191459.0306
233	191384.6302
234	191222.3411
235	191087.6362
236	191078.9328
237	190921.5988
238	190792.3013
239	190591.8051
240	190527.9751
241	190382.4269
242	190237.5856
243	190078.3015
244	189919.2109
245	189747.8741
246	189601.8709
247	189343.1372
248	189221.424
249	189083.0597
250	188920.3453
251	188871.8562
252	188688.333
253	188569.9251
254	188388.8531
255	188352.1823
256	188208.8536
257	188070.3692
258	188006.3266
259	187987.1871
260	187830.4657
261	187719.4847
262	187593.3898
263	187586.5228
264	187441.0132
265	187324.292
266	187310.638
267	187191.5418
268	187070.3954
269	186860.488
270	186578.519
271	186462.2159
272	186335.7075
273	186156.1244
274	186040.656
275	185874.3588
276	185581.0319
277	185421.7714
278	185327.8769
279	185320.918
280	185314.8266
281	185097.7928
