iter	Passed	Remaining
0	19	19313
1	34	17176
2	62	20769
3	84	21127
4	103	20681
5	121	20185
6	143	20336
7	161	20070
8	176	19423
9	193	19188
10	214	19257
11	237	19560
12	258	19603
13	289	20384
14	313	20587
15	327	20164
16	347	20064
17	364	19902
18	378	19559
19	397	19482
20	413	19287
21	426	18950
22	451	19164
23	469	19074
24	481	18790
25	497	18621
26	514	18534
27	526	18273
28	538	18030
29	552	17868
30	560	17532
31	575	17416
32	587	17226
33	609	17315
34	627	17307
35	643	17234
36	659	17167
37	675	17094
38	685	16884
39	702	16855
40	711	16636
41	721	16458
42	729	16244
43	740	16084
44	756	16055
45	774	16061
46	794	16106
47	816	16188
48	836	16241
49	858	16312
50	879	16364
51	896	16350
52	914	16348
53	929	16290
54	947	16273
55	966	16294
56	985	16308
57	1005	16330
58	1026	16371
59	1044	16362
60	1110	17091
61	1142	17288
62	1170	17406
63	1193	17448
64	1214	17463
65	1234	17470
66	1254	17470
67	1274	17470
68	1302	17575
69	1319	17527
70	1343	17577
71	1362	17557
72	1380	17531
73	1401	17535
74	1428	17615
75	1465	17814
76	1514	18148
77	1565	18508
78	1595	18604
79	1634	18797
80	1679	19059
81	1733	19410
82	1769	19552
83	1807	19714
84	1834	19743
85	1865	19823
86	1885	19784
87	1900	19700
88	1922	19677
89	1947	19688
90	1964	19621
91	1990	19645
92	2009	19596
93	2044	19705
94	2072	19746
95	2095	19730
96	2118	19719
97	2139	19688
98	2161	19671
99	2180	19626
100	2199	19577
101	2220	19548
102	2242	19525
103	2263	19497
104	2280	19435
105	2303	19429
106	2321	19373
107	2351	19423
108	2372	19395
109	2398	19402
110	2410	19308
111	2430	19269
112	2450	19232
113	2470	19204
114	2499	19234
115	2520	19206
116	2549	19239
117	2574	19242
118	2599	19244
119	2632	19302
120	2703	19643
121	2754	19826
122	2785	19862
123	2811	19860
124	2836	19858
125	2865	19875
126	2883	19821
127	2903	19777
128	2920	19718
129	2936	19652
130	2952	19588
131	2975	19564
132	2997	19537
133	3016	19497
134	3034	19442
135	3058	19430
136	3079	19398
137	3096	19339
